game,agent_a,agent_b,a_starts,winner,avg_time_p1,avg_time_p2,nodes_p1,nodes_p2
12,Minimax_AB,Stratagem,True,Minimax_AB,0.1257697333736966,0.0,3960,0
13,Minimax_AB,Stratagem,False,Stratagem,0.0,0.026175299969812233,0,1042
14,Minimax_AB,Stratagem,True,Minimax_AB,0.5184224667027593,0.0,14027,0
15,Minimax_AB,Stratagem,False,Stratagem,0.0,0.0731425000121817,0,1494
16,Minimax_AB,Stratagem,True,Minimax_AB,0.13045879996692142,0.0,3685,0
17,Minimax_AB,Stratagem,False,Stratagem,0.0,0.313760899938643,0,6279
18,Minimax_AB,Stratagem,True,Stratagem,1.346885966680323,0.0,26150,0
19,Minimax_AB,Stratagem,False,Stratagem,0.0,0.03942376670117179,0,1233
20,Minimax_AB,Stratagem,True,Stratagem,0.541614199988544,0.0,12678,0
21,Minimax_AB,Stratagem,False,Minimax_AB,0.0,0.1367865001084283,0,2711
22,Minimax_AB,Stratagem,True,Minimax_AB,0.3560268000001088,0.0,5661,0
23,Minimax_AB,Stratagem,False,Stratagem,0.0,0.18892935011535883,0,3761
24,Minimax_AB,Stratagem,True,Minimax_AB,0.2307867333292961,0.0,5682,0
25,Minimax_AB,Stratagem,False,Stratagem,0.0,0.06126769996869067,0,2056
26,Minimax_AB,Stratagem,True,Stratagem,0.34652969997841865,0.0,5357,0
27,Minimax_AB,Stratagem,False,Stratagem,0.0,0.276459850021638,0,5390
28,Minimax_AB,Stratagem,True,Minimax_AB,0.7881224999437109,0.0,12513,0
29,Minimax_AB,Stratagem,False,Stratagem,0.0,0.2109290501102805,0,4119
30,Minimax_AB,Stratagem,True,Minimax_AB,0.5500032500131056,0.0,8700,0
31,Minimax_AB,Stratagem,False,Stratagem,0.0,0.1991701499791816,0,4929
32,Minimax_AB,Stratagem,True,Minimax_AB,0.44416349998209625,0.0,8799,0
33,Minimax_AB,Stratagem,False,Stratagem,0.0,0.07974229997489601,0,1954
34,Minimax_AB,Stratagem,True,Minimax_AB,0.21391276673724255,0.0,5519,0
35,Minimax_AB,Stratagem,False,Minimax_AB,0.0,0.06874293329504629,0,2293
36,Minimax_AB,Stratagem,True,Stratagem,0.3581373499473557,0.0,6412,0
37,Minimax_AB,Stratagem,False,Stratagem,0.0,0.14762893334651986,0,6357
38,Minimax_AB,Stratagem,True,Minimax_AB,0.2108329499606043,0.0,3531,0
39,Minimax_AB,Stratagem,False,Stratagem,0.0,0.08038614992983639,0,1954
40,Minimax_AB,Stratagem,True,Minimax_AB,0.25051250006072223,0.0,4558,0
41,Minimax_AB,Stratagem,False,Stratagem,0.0,0.08296085009351373,0,2207
42,Minimax_AB,Stratagem,True,Minimax_AB,0.2097469000145793,0.0,6343,0
43,Minimax_AB,Stratagem,False,Stratagem,0.0,0.15117495006415993,0,3420
44,Minimax_AB,Stratagem,True,Minimax_AB,0.4515980500727892,0.0,8700,0
45,Minimax_AB,Stratagem,False,Stratagem,0.0,0.07871414988767356,0,1947
46,Minimax_AB,Stratagem,True,Minimax_AB,0.44960266654379666,0.0,13715,0
47,Minimax_AB,Stratagem,False,Stratagem,0.0,0.011337600066326559,0,313
48,Minimax_AB,Stratagem,True,Minimax_AB,0.4511477332562208,0.0,12310,0
49,Minimax_AB,Stratagem,False,Stratagem,0.0,0.1487704999744892,0,3772
0,Expectimax,RandomAgent,True,Expectimax,3.2673966249567457,0.0,118972,0
1,Expectimax,RandomAgent,False,RandomAgent,0.0,1.6972329999941091,0,56953
2,Expectimax,RandomAgent,True,Expectimax,4.049064375052694,0.0,173102,0
3,Expectimax,RandomAgent,False,Expectimax,0.0,2.0589301000582054,0,54550
4,Expectimax,RandomAgent,True,RandomAgent,4.2107346332632005,0.0,118329,0
5,Expectimax,RandomAgent,False,Expectimax,0.0,1.1014973332639784,0,35340
6,Expectimax,RandomAgent,True,Expectimax,0.7758029500255361,0.0,30012,0
7,Expectimax,RandomAgent,False,RandomAgent,0.0,1.7692295999731869,0,44530
8,Expectimax,RandomAgent,True,Expectimax,1.5662242750404403,0.0,63503,0
9,Expectimax,RandomAgent,False,Expectimax,0.0,0.6765254333925744,0,21033
10,Expectimax,RandomAgent,True,Expectimax,2.343055299948901,0.0,85952,0
11,Expectimax,RandomAgent,False,Expectimax,0.0,0.09001516667194664,0,3014
12,Expectimax,RandomAgent,True,Expectimax,3.2973797250306234,0.0,120249,0
13,Expectimax,RandomAgent,False,Expectimax,0.0,1.4603016666757564,0,51217
14,Expectimax,RandomAgent,True,Expectimax,5.512640966645752,0.0,177494,0
15,Expectimax,RandomAgent,False,Expectimax,0.0,0.9155036666585753,0,38963
16,Expectimax,RandomAgent,True,RandomAgent,1.6636441667408992,0.0,45581,0
17,Expectimax,RandomAgent,False,RandomAgent,0.0,0.9866735000008097,0,34871
18,Expectimax,RandomAgent,True,Expectimax,3.043758749961853,0.0,107516,0
19,Expectimax,RandomAgent,False,RandomAgent,0.0,1.8442932000228514,0,40328
20,Expectimax,RandomAgent,True,Expectimax,2.2898646249086596,0.0,81020,0
21,Expectimax,RandomAgent,False,Expectimax,0.0,0.465377466675515,0,19520
22,Expectimax,RandomAgent,True,RandomAgent,6.3650329666367425,0.0,194831,0
23,Expectimax,RandomAgent,False,Expectimax,0.0,1.8960488999728113,0,52536
24,Expectimax,RandomAgent,True,RandomAgent,5.893917550100014,0.0,107860,0
25,Expectimax,RandomAgent,False,RandomAgent,0.0,0.6494304999553909,0,22486
26,Expectimax,RandomAgent,True,Expectimax,3.489102349965833,0.0,124950,0
27,Expectimax,RandomAgent,False,RandomAgent,0.0,0.44966836653960246,0,9077
28,Expectimax,RandomAgent,True,Expectimax,5.667883625021204,0.0,146573,0
29,Expectimax,RandomAgent,False,Expectimax,0.0,2.194681400045132,0,45347
30,Expectimax,RandomAgent,True,Expectimax,2.2260068749892525,0.0,53225,0
31,Expectimax,RandomAgent,False,Expectimax,0.0,1.5118034333766748,0,33468
32,Expectimax,RandomAgent,True,Expectimax,3.315056699968409,0.0,79926,0
33,Expectimax,RandomAgent,False,Expectimax,0.0,2.122175599914044,0,37644
34,Expectimax,RandomAgent,True,Expectimax,3.0195837249048054,0.0,73105,0
35,Expectimax,RandomAgent,False,RandomAgent,0.0,2.087134833370025,0,50350
36,Expectimax,RandomAgent,True,RandomAgent,1.8522052000431966,0.0,36724,0
37,Expectimax,RandomAgent,False,RandomAgent,0.0,0.9077639332972467,0,25946
38,Expectimax,RandomAgent,True,Expectimax,2.308340549992863,0.0,66300,0
39,Expectimax,RandomAgent,False,RandomAgent,0.0,2.2908903333203248,0,54018
40,Expectimax,RandomAgent,True,Expectimax,3.672564050066285,0.0,100110,0
41,Expectimax,RandomAgent,False,Expectimax,0.0,1.1009438999462873,0,19550
42,Expectimax,RandomAgent,True,Expectimax,3.6450148499570787,0.0,97071,0
43,Expectimax,RandomAgent,False,Expectimax,0.0,0.9439018333020309,0,20659
44,Expectimax,RandomAgent,True,Expectimax,5.002691166785856,0.0,109882,0
45,Expectimax,RandomAgent,False,RandomAgent,0.0,1.8320581333246082,0,48751
